更新时间,#genre#
2025-03-25 02:08:41,url
央视频道,#genre#:
CCTV电视指南,http://223.145.224.118:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.129:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.118:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.129:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.118:8000/udp/239.76.254.61:9000
CCTV第一剧场,http://223.145.224.129:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.118:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.118:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.118:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.129:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.118:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.118:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.129:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.129:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.118:8000/udp/239.76.254.49:9000
CCTV风云剧场,http://223.145.224.118:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.129:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.118:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.118:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.129:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.118:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.129:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.129:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.129:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.129:8000/udp/239.76.254.50:9000
CCTV风云足球,http://223.145.224.118:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.118:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.118:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.129:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.118:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.129:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.129:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.118:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.129:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.129:8000/udp/239.76.254.52:9000
CCTV风云音乐,http://223.145.224.118:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.118:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.118:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.129:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.129:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.118:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.129:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.118:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.118:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.129:8000/udp/239.76.254.51:9000
CCTV高尔夫网球,http://223.145.224.129:8000/udp/239.76.254.62:9000
CCTV高尔夫网球,http://223.145.224.129:8000/udp/239.76.254.62:9000
CCTV高尔夫网球,http://223.145.224.118:8000/udp/239.76.254.62:9000
CCTV高尔夫网球,http://223.145.224.129:8000/udp/239.76.254.62:9000
CCTV高尔夫网球,http://223.145.224.129:8000/udp/239.76.254.62:9000
CCTV高尔夫网球,http://223.145.224.118:8000/udp/239.76.254.62:9000
CCTV高尔夫网球,http://223.145.224.118:8000/udp/239.76.254.62:9000
CCTV高尔夫网球,http://223.145.224.118:8000/udp/239.76.254.62:9000
